	rank,meigara,kuramoto,detail_url,highscore_words
144,るみ子の酒,森喜酒造場,http://www.sakeno.com/meigara/775,うまい 仰々しい すくない 良い 惜しい
144,甲子,飯沼本家,http://www.sakeno.com/meigara/105,薄い 心地よい 淡い 軽い 優しい
144,誠鏡,中尾醸造,http://www.sakeno.com/meigara/1041,うまい 暖かい 乏しい やすい 惜しい
144,旭日,藤居本家,http://www.sakeno.com/meigara/795,やすい 黒い カッコイイ 上手い 不味い
168,あぶくま,玄葉本店,http://www.sakeno.com/meigara/388,良い たくましい 柔らかい 涼しい いい
168,町田酒造,町田酒造店（群馬県前橋市）,http://www.sakeno.com/meigara/1569,瑞々しい 新しい やすい 弱い 良い
168,春霞,栗林酒造店,http://www.sakeno.com/meigara/192,古い 懐かしい 荒々しい 無い 優しい
168,賀儀屋,成龍酒造,http://www.sakeno.com/meigara/1536,かるい 旨い 甘い 良い 軽い
168,川鶴,川鶴酒造,http://www.sakeno.com/meigara/337,濃い ぶ厚い 宜しい 近い 素晴らしい
168,明鏡止水,大澤酒造,http://www.sakeno.com/meigara/525,やすい 旨い ない 軽い 濃い
168,洗心,朝日酒造（新潟県）,http://www.sakeno.com/meigara/1171,言うまでもない 有り難い 上手い 高い 旨い
168,出雲富士,富士酒造,http://www.sakeno.com/meigara/971,旨い 固い 良い 優しい おいしい
168,会津娘,高橋庄作酒造店,http://www.sakeno.com/meigara/80,柔らかい 凄い 美味しい おいしい 素早い
168,住吉,樽平酒造,http://www.sakeno.com/meigara/247,辛い うまい 痛い つらい 少ない
168,天吹,天吹酒造,http://www.sakeno.com/meigara/288,ふさわしい よい 無い っぽい うまい
168,会津中将,鶴乃江酒造,http://www.sakeno.com/meigara/396,潔い 美味しい 良い 旨い 生生しい
168,豊賀,高沢酒造,http://www.sakeno.com/meigara/1601,短い 潔い 美味しい 瑞々しい よい
168,美丈夫,浜川商店,http://www.sakeno.com/meigara/375,良い 無い 相応しい おとなしい うすい
168,菊正宗,菊正宗酒造,http://www.sakeno.com/meigara/842,うすい ない 潔い にくい おいしい
168,富久長,今田酒造本店,http://www.sakeno.com/meigara/1040,奥ゆかしい あまったるい ありがたい 甘い ほどよい
168,れいざん,山村酒造,http://www.sakeno.com/meigara/308,おいしい いい 美味しい よい 良い
168,一本義,一本義久保本店,http://www.sakeno.com/meigara/1083,美味しい ない 近い 淡い 辛い
168,竹鶴,竹鶴酒造,http://www.sakeno.com/meigara/1036,欲しい 遅い よい 強い 優しい
168,丹沢山,川西屋酒造店,http://www.sakeno.com/meigara/498,うすい 恥ずかしい 力強い 強い 旨い
168,奥,山崎合資,http://www.sakeno.com/meigara/1253,濃い 淡い 脂っこい 力強い 奥深い
168,十九,尾澤酒造場,http://www.sakeno.com/meigara/1106,重い 心地よい 強い 清々しい おいしい
168,長陽福娘,岩崎酒造,http://www.sakeno.com/meigara/1742,弱い くどい 甘い いい ない
168,白龍（福井県）,吉田酒造（福井県）,http://www.sakeno.com/meigara/1288,黒い 初々しい キメ細かい 上手い 不味い
168,美寿々,美寿々酒造,http://www.sakeno.com/meigara/1070,心地好い 蒸し暑い えらい 良い 優しい
168,三連星,美冨久酒造,http://www.sakeno.com/meigara/1653,熱い 良い 若い 甘酸っぱい 力強い
168,天寿,天寿酒造,http://www.sakeno.com/meigara/197,少ない 近い 強い 旨い 凄い
168,天覧山,五十嵐酒造,http://www.sakeno.com/meigara/1120,長い よい 濃い いい 黒い
168,酔右衛門,川村酒造店,http://www.sakeno.com/meigara/1269,図太い 程遠い 角い 大人しい 易い
168,大倉,大倉本家,http://www.sakeno.com/meigara/1273,ぽい いい 旨い ない 凄まじい
168,高千代,高千代酒造,http://www.sakeno.com/meigara/1442,重い 美味しい 黒い 仰々しい キメ細かい
168,相模灘,久保田酒造（神奈川県）,http://www.sakeno.com/meigara/1241,油っこい 好ましい すい 良い 若い
168,七賢,山梨銘醸,http://www.sakeno.com/meigara/506,淡い やすい ない 濃い 美味しい
